Region,Nation,Need
North America,United States,HIPAA (Healthcare)
North America,United States,SOX (Public Companies)
North America,United States,FERPA (Education)
North America,United States,COPPA (Online Services for Children)
North America,United States,GLBA (Financial Institutions)
North America,United States,FISMA (Federal Agencies and Contractors)
North America,United States,CIPA (Schools and Libraries)
North America,United States,PCI DSS (Credit Card Data)
North America,Mexico,LFPIORPI (Money Laundering)
North America,Mexico,LFPDPPP (Personal Data Protection)
North America,Mexico,LFIT (Telecommunications and Broadcasting)
Europe,European Union,GDPR (Data Protection and Privacy)
Europe,European Union,PSD2 (Payment Services)
Europe,European Union,MiFID II (Investment Services)
Europe,European Union,NIS (Network and Information Systems)
Europe,European Union,AIFMD (Hedge Funds, Private Equity)
APJ,Australia,APP (Data Privacy)
APJ,Australia,ASIC Guidelines (Financial Institutions)
APJ,Japan,APPI (Data Protection)
APJ,Japan,J-SOX (Financial Reporting)
APJ,Singapore,PDPA (Data Protection)
APJ,Singapore,MAS Guidelines (Financial Institutions)
APJ,India,IT Act (Electronic Data and Privacy)
APJ,India,RBI Guidelines (Banking and Financial Services)
